TrainCallNote;TrainCallNote.CallId;TrainCallNote.DisplayOrder;TrainCallNote.IsDriverNote;TrainCallNote.IsStationNote;TrainCallNote.IsShuntingNote;TrainCallNote.IsForArrival;TrainCallNote.IsForDeparture;TrainCallNote.TrainInfo
Tellurian.Trains.Planning.App.Contracts.ManualTrainCallNote;5633;1;True;True;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.ManualTrainCallNote;5705;1;True;True;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5587;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5597;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5602;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5635;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5638;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5642;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5675;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5679;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5711;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5713;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5714;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5726;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5734;0;False;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5738;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5746;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5750;0;False;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5755;0;False;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5758;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5761;0;False;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5766;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5769;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5779;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5784;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5793;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5798;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5803;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5808;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5813;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5815;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5821;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5827;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5829;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5841;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsDepartureCallNote;5844;0;True;True;False;False;True;""
Tellurian.Trains.Planning.App.Contracts.TrainsetsArrivalCallNote;5589;0;True;True;False;True;False;""
